Unnamed: 0,sexo,tipo_de_emprendimiento,idea_negocio,barrio,estrato,comuna_ciudadano,fecha_de_beneficio,monto_del_credito,línea_credito
96,femenino,comercio,variedades,cabecera san cristobal,3,60.0,16/04/2018,2000000.0,microempresarial
97,femenino,servicio,fabrica-de-helados,el rodeo,3,15.0,9/02/2017,7000000.0,microempresarial
98,masculino,comercio,variedades,enciso,2,8.0,25/01/2018,780000.0,microempresarial
99,femenino,comercio,cafeteria,santo domingo savio ,2,1.0,2017/09/5,7300000.0,microempresarial
100,femenino,industria,comidas rapidas,moravia,2,4.0,24/02/2017,7377000.0,microempresarial
101,femenino,comercio,variedades,doce de octubre no.1,2,6.0,26/11/2018,7800000.0,microempresarial
102,masculino,servicio,legumbreria,pedregal,3,6.0,2017/10/23,7300000.0,microempresarial
103,femenino,servicio,comidas rapidas,santo domingo savio ,2,1.0,12/05/2017,6000000.0,microempresarial
104,femenino,comercio,comidas rapidas,manrique central no. 1,3,4.0,3/04/2018,7000000.0,microempresarial
105,masculino,servicio,cafe e internet,villa niza,2,2.0,18/06/2019,8000000.0,microempresarial
106,femenino,industria,fabrica de ,manrique central no. 2,3,3.0,23/02/2017,4000000.0,microempresarial
107,masculino,comercio,papeleria,san javier no.1,2,13.0,2/05/2016,5000000.0,microempresarial
108,femenino,comercio,variedades,manrique central no. 2,1,3.0,11/04/2018,4000000.0,microempresarial
109,masculino,industria,fabrica de productos ,robledo,1,7.0,2016/10/26,4000000.0,microempresarial
110,femenino,comercio,cafeteria,belen,2,16.0,9/11/2017,7370000.0,microempresarial
111,femenino,comercio,variedades,playon de los ,1,2.0,9/07/2018,7800000.0,microempresarial
112,masculino,servicio,comidas rapidas,guayabal,2,15.0,17/11/2017,4000000.0,microempresarial
113,femenino,industria,fabrica de ,manrique central no. 1,2,4.0,7/12/2018,6000000.0,microempresarial
114,femenino,industria,fabrica de calzado,granizal,2,1.0,5/06/2018,7800000.0,microempresarial
115,femenino,servicio,peluqueria,enciso,2,8.0,1/08/2016,6850000.0,microempresarial
116,masculino,comercio,tienda,manrique central no. 1,1,4.0,13/07/2017,4400000.0,microempresarial
117,femenino,industria,fabrica de ,belen,2,16.0,23/05/2018,3000000.0,microempresarial
118,femenino,comercio,fabrica de alimentos,campo valdes no. 1,3,4.0,1/02/2017,7000000.0,microempresarial
119,masculino,servicio,comidas rapidas,buenos aires,2,9.0,6/07/2017,3000000.0,microempresarial
120,femenino,comercio,variedades,enciso,1,8.0,28/11/2017,7300000.0,microempresarial
121,femenino,comercio,fabrica de ,la floresta,3,12.0,9/02/2018,7800000.0,microempresarial
122,femenino,industria,fabrica de ,enciso,2,8.0,24/04/2017,3500000.0,microempresarial
123,femenino,servicio,carniceria,santo domingo savio ,1,1.0,24/11/2016,6890000.0,microempresarial
124,masculino,comercio,tienda,belen,2,16.0,12/10/2017,7200000.0,microempresarial
125,femenino,comercio,variedades,aranjuez,3,4.0,2017/11/15,5000000.0,microempresarial
126,masculino,comercio,almacen de ropa en ,popular,2,1.0,22/01/2018,4000000.0,microempresarial
127,masculino,comercio,miscelanea,centro admtivo,3,10.0,2018/02/14,1000000.0,microempresarial
128,femenino,industria,fabrica de productos ,las palmas,2,10.0,22/04/2016,6890000.0,microempresarial
129,femenino,comercio,tienda,santa cruz,2,2.0,2019/03/18,5000000.0,microempresarial
130,femenino,servicio,peluqueria,buenos aires,3,9.0,7/06/2018,6000000.0,microempresarial
131,femenino,industria,fabrica de ,villa guadalupe,2,1.0,8/06/2018,2500000.0,microempresarial
132,masculino,comercio,variedades,manrique central no. 1,3,4.0,4/05/2018,3500000.0,microempresarial
133,masculino,industria,fabrica de ,manrique central no. 1,1,4.0,6/06/2018,5500000.0,microempresarial
134,masculino,comercio,almacen de ropa en ,la colina,3,15.0,26/04/2017,7300000.0,microempresarial
135,masculino,comercio,variedades,belen,1,16.0,21/08/2018,4000000.0,microempresarial
136,masculino,servicio,comidas-rapidas,enciso,3,8.0,9/03/2018,1500000.0,microempresarial
137,femenino,industria,fabrica de ,playon de los ,1,2.0,30/06/2017,3500000.0,microempresarial
139,femenino,comercio,distribuidora de ,san pablo,2,1.0,7/10/2016,6890000.0,microempresarial
140,masculino,industria,reciclaje,robledo,2,7.0,29/09/2017,1000000.0,microempresarial
141,femenino,servicio,comidas rapidas,robledo,0,7.0,15/04/2016,6890000.0,microempresarial
142,femenino,servicio,tienda,santa cruz,2,2.0,2018/03/23,7000000.0,microempresarial
143,femenino,servicio,mantenimiento en ,pablo vi,2,2.0,2/11/2017,7300000.0,microempresarial
145,femenino,industria,fabrica de ,manrique central no. 2,2,3.0,8/05/2019,8200000.0,microempresarial
146,femenino,comercio,comidas rapidas,moravia,2,4.0,19/07/2018,800000.0,microempresarial
147,femenino,comercio,comidas rapidas,robledo,2,7.0,25/05/2018,6000000.0,microempresarial
148,femenino,industria,fabrica de ,popular,2,1.0,24/07/2018,4000000.0,microempresarial
149,masculino,servicio,cafe e internet,buenos aires,3,9.0,22/08/2018,2500000.0,microempresarial
150,femenino,servicio,peluqueria,enciso,2,6.0,6/05/2016,6890000.0,microempresarial
151,masculino,comercio,cafeteria,san javier no.1,2,13.0,3/11/2016,4000000.0,microempresarial
152,femenino,comercio,fabrica de alimentos,belen,3,16.0,20/04/2016,4000000.0,microempresarial
153,masculino,comercio,fabrica de ,llanaditas,1,nan,22/11/2018,7800000.0,microempresarial
154,masculino,servicio,panaderia,manrique central no. 1,2,4.0,4/09/2018,3000000.0,microempresarial
155,femenino,comercio,tienda,juan xxiii la quiebra,1,13.0,6/02/2016,3000000.0,microempresarial
156,femenino,comercio,variedades,popular,2,1.0,17/02/2017,7377000.0,microempresarial
157,femenino,comercio,panaderia,robledo,3,7.0,16/02/2017,7000000.0,microempresarial
158,femenino,comercio,cafeteria,moravia,2,4.0,6/04/2018,7800000.0,microempresarial
159,femenino,servicio,fabrica de ,castilla,2,5.0,27/06/2016,6890000.0,microempresarial
160,masculino,comercio,tienda,olaya herrera,1,7.0,26/10/2016,6890000.0,microempresarial
161,masculino,industria,fabrica de alimentos,cabecera san antonio ,2,80.0,22/04/2016,6400000.0,microempresarial
163,femenino,industria,fabrica de ,popular,2,1.0,20/06/2018,6000000.0,microempresarial
164,masculino,servicio,tienda,barrio caicedo,3,9.0,12/05/2017,1500000.0,microempresarial
165,femenino,comercio,peluqueria,robledo,2,7.0,9/11/2017,2000000.0,microempresarial
166,femenino,comercio,tienda,robledo,1,7.0,20/12/2018,6500000.0,microempresarial
167,masculino,agropecuaria,sembrados,cabecera san cristobal,2,60.0,14/09/2018,7800000.0,microempresarial
168,masculino,comercio,variedades,manrique oriental,3,3.0,18/06/2018,7000000.0,microempresarial
169,masculino,servicio,recreativo-educativo,loreto,3,9.0,31/08/2017,6.0,microempresarial
170,femenino,industria,fabrica de ,jardin botanico,1,4.0,31/05/2018,5000000.0,microempresarial
171,femenino,servicio,cafe e internet,robledo,2,7.0,11/11/2016,6800000.0,microempresarial
172,femenino,comercio,comidas rapidas,manrique oriental,2,3.0,20/06/2017,5000000.0,microempresarial
173,femenino,comercio,comidas rapidas,santa cruz,2,2.0,2018/03/22,1500000.0,microempresarial
174,masculino,servicio,barberia,robledo,2,7.0,30/06/2017,5000000.0,microempresarial
175,masculino,industria,fabrica de ,guayabal,2,15.0,2/03/2016,4000000.0,microempresarial
176,femenino,comercio,tienda,la libertad,2,8.0,24/11/2017,7370000.0,microempresarial
177,masculino,servicio,variedades,la pradera,3,13.0,6/03/2017,7000000.0,microempresarial
